num|neg|neu|pos|com
91|0.089|0.703|0.208|0.991
92|0.0|0.714|0.286|0.9722
93|0.054|0.801|0.145|0.9944
94|0.067|0.781|0.152|0.9662
95|0.094|0.792|0.114|0.6891
96|0.066|0.876|0.058|-0.3088
97|0.01|0.851|0.139|0.9606
98|0.029|0.66|0.312|0.9311
99|0.035|0.657|0.308|0.9988
100|0.039|0.961|0.0|-0.128
101|0.031|0.803|0.166|0.9982
102|0.045|0.756|0.199|0.9986
103|0.019|0.717|0.263|0.9684
104|0.062|0.758|0.18|0.9975
105|0.0|0.74|0.26|0.9739
106|0.064|0.679|0.257|0.9992
107|0.036|0.715|0.249|0.9942
108|0.0|0.615|0.385|0.9245
109|0.086|0.756|0.159|0.9932
110|0.105|0.656|0.239|0.9673
111|0.059|0.817|0.124|0.9893
112|0.0|0.636|0.364|0.7906
113|0.035|0.748|0.217|0.9944
114|0.025|0.742|0.233|0.9989
115|0.098|0.662|0.24|0.7293
116|0.064|0.762|0.174|0.9974
117|0.011|0.714|0.274|0.9761
118|0.0|0.811|0.189|0.2177
119|0.045|0.778|0.177|0.9533
120|0.0|0.84|0.16|0.6249
121|0.0|0.826|0.174|0.7906
122|0.033|0.656|0.31|0.9716
123|0.0|0.734|0.266|0.9718
124|0.089|0.713|0.198|0.9983
125|0.0|0.887|0.113|0.5893
126|0.043|0.787|0.17|0.9976
127|0.051|0.76|0.189|0.9975
128|0.141|0.786|0.073|-0.3947
129|0.048|0.715|0.237|0.9524
130|0.094|0.717|0.189|0.9392
131|0.035|0.731|0.234|0.9969
132|0.101|0.75|0.15|0.9564
133|0.079|0.752|0.17|0.9978
134|0.073|0.742|0.185|0.9874
135|0.029|0.732|0.239|0.9981
136|0.028|0.643|0.329|0.9617
137|0.0|0.77|0.23|0.9485
138|0.0|0.893|0.107|0.6696
139|0.056|0.807|0.138|0.9782
140|0.046|0.708|0.246|0.9698
141|0.024|0.695|0.28|0.9778
142|0.067|0.762|0.171|0.9989
143|0.045|0.749|0.206|0.9993
144|0.0|0.901|0.099|0.8197
145|0.023|0.803|0.174|0.9891
146|0.04|0.735|0.225|0.9923
147|0.0|0.618|0.382|0.9965
148|0.056|0.698|0.246|0.9962
149|0.05|0.723|0.227|0.9956
150|0.091|0.755|0.154|0.9975
151|0.028|0.801|0.171|0.9986
152|0.03|0.753|0.217|0.9771
153|0.043|0.769|0.187|0.9986
154|0.047|0.763|0.189|0.9978
155|0.072|0.756|0.173|0.9927
156|0.0|1.0|0.0|0.0
157|0.071|0.747|0.182|0.9992
158|0.037|0.657|0.307|0.9797
159|0.062|0.708|0.23|0.9985
160|0.0|0.683|0.317|0.9304
161|0.027|0.597|0.375|0.9919
162|0.0|0.853|0.147|0.9325
163|0.0|0.503|0.497|0.9567
164|0.019|0.829|0.153|0.9927
165|0.096|0.646|0.257|0.97
166|0.039|0.774|0.187|0.9931
167|0.087|0.745|0.168|0.9984
168|0.117|0.729|0.154|0.9468
169|0.019|0.801|0.179|0.9117
170|0.048|0.712|0.241|0.9988
171|0.0|0.843|0.157|0.6808
172|0.0|0.752|0.248|0.9418
173|0.018|0.766|0.216|0.9647
174|0.057|0.778|0.164|0.9962
175|0.0|0.711|0.289|0.9952
176|0.041|0.816|0.143|0.9934
177|0.093|0.681|0.226|0.973
178|0.061|0.749|0.19|0.9971
179|0.053|0.833|0.114|0.9051
180|0.039|0.785|0.176|0.9973
181|0.08|0.853|0.067|-0.128
182|0.0|0.673|0.327|0.891
183|0.0|0.853|0.147|0.5106
184|0.059|0.784|0.157|0.5574
185|0.08|0.92|0.0|-0.3804
186|0.146|0.606|0.248|0.9248
187|0.109|0.809|0.082|-0.4199
188|0.047|0.643|0.31|0.9752
189|0.033|0.784|0.183|0.9379
190|0.109|0.622|0.268|0.7295
191|0.07|0.825|0.105|0.9599
192|0.026|0.824|0.15|0.9851
193|0.079|0.687|0.234|0.996
194|0.107|0.745|0.148|0.9733
195|0.031|0.883|0.086|0.8817
196|0.032|0.778|0.19|0.9588
197|0.031|0.909|0.059|0.6269
198|0.063|0.76|0.177|0.9972
199|0.018|0.835|0.146|0.9287
200|0.062|0.716|0.223|0.9912
201|0.0|0.816|0.184|0.8213
202|0.067|0.845|0.088|0.895
203|0.067|0.673|0.26|0.8402
204|0.0|1.0|0.0|0.0
205|0.061|0.641|0.297|0.9767
206|0.04|0.65|0.31|0.9896
207|0.04|0.846|0.114|0.5396
208|0.028|0.867|0.105|0.7393
209|0.0|0.691|0.309|0.8374
210|0.094|0.697|0.209|0.9943
211|0.03|0.711|0.258|0.9878
212|0.0|1.0|0.0|0.0
213|0.0|0.708|0.292|0.7482
214|0.053|0.816|0.131|0.5422
215|0.059|0.748|0.193|0.7783
216|0.087|0.674|0.239|0.9976
217|0.0|0.931|0.069|0.5473
218|0.069|0.757|0.174|0.9891
219|0.025|0.819|0.155|0.9905
220|0.063|0.779|0.158|0.933
221|0.055|0.82|0.125|0.8504
222|0.101|0.826|0.073|-0.8903
223|0.079|0.805|0.116|0.9608
224|0.081|0.833|0.086|0.6322
225|0.064|0.831|0.105|0.9879
226|0.0|0.691|0.309|0.7003
227|0.035|0.777|0.188|0.9952
228|0.02|0.928|0.052|0.9128
229|0.022|0.898|0.08|0.9897
230|0.078|0.755|0.166|0.9768
231|0.086|0.839|0.074|-0.7681
232|0.079|0.828|0.093|0.5489
233|0.025|0.753|0.222|0.9913
234|0.049|0.87|0.081|0.9435
235|0.059|0.691|0.25|0.998
236|0.096|0.827|0.077|0.0094
237|0.024|0.743|0.233|0.9593
238|0.059|0.794|0.147|0.9884
239|0.085|0.79|0.125|0.9177
240|0.051|0.817|0.132|0.9873
