id,adresat,miejsce_wzmiankowane,osoba_prawdopodobnie_wzmiankowana,osoba_wzmiankowana
269,,"['Bordeaux (7008161)', 'Dresden (7004455)', 'Faubourg Saint-Germain', 'New Orleans', 'Nice (7008773)', 'Orléans', 'Paris', 'Posiadłość George Sand (Nohant)', 'Roma (7003138)', 'Sicilia']","['Grzymała, Wojciech', 'Turczynowicz, Roman']","['Alkan, Charles-Valentin', 'Barcińska, Izabella', 'Barciński, Antoni', 'Barciński, Jan', 'Bertholdi, Augustine Marie', 'Chopin, Justyna', 'Clésinger, Jean-Baptiste', 'Couture, Thomas', 'Czartoryska, Anna (księżna)', 'Czartoryski, Adam Jerzy (książę)', 'Czosnowska, Laura (hrabina)', 'David, Félicien', 'Delacroix, Eugène', 'Dudevant, Solange', 'Durrieu, Xavier', 'Duvert, Félix-Auguste', 'Franchomme, Amélie', 'Franchomme, Auguste', 'Franchomme, Cécile', 'Franchomme, Louise', 'Franchomme, René', 'Gossec, François-Joseph', 'Gutmann, Adolf', 'Janin, Jules', 'Jędrzejewicz, Józef Kalasanty', 'Jędrzejewiczowa, Ludwika', 'Kolberg, Oskar', 'Lablache, Luigi', 'Legouvė, Ernest', 'Lucie (służąca George Sand)', 'Léo, Auguste', 'María Cristina, Queen consort of Ferdinand VII', 'Nowakowski, Józef', 'Perthuis, de (hrabia)', 'Perthuis, Émilie de (hrabina)', 'Pleyel, Camille', 'Potocka, Delfina (hrabina)', 'Préaulx, Fernand de', 'Rachel Félix, Élisabeth', 'Rosengardt-Zaleska, Zofia', 'Rothschild, Charlotte (baronowa)', 'Rozières, Marie de', 'Rzyszczewska, Michalina', 'Sand, George', 'Sand, Maurice', 'Scheffer, Ary', 'Stefani, Józef', 'Vieuxtemps, Henri', 'Wernik, Kazimierz', 'Wirtemberska, Maria', 'Witwicki, Stefan', 'Woyciechowski, Tytus', 'Zaleski, Józef Bohdan']"
268,"['Sand, George']",,,"['Sand, Maurice']"
1378,,,,
299,"['Dudevant, Solange']",,,
306,,"['Dresden (7004455)', 'Gascogne', 'Nohant', 'Paris (7008038)']",,"['Barcińska, Izabella', 'Barciński, Antoni', 'Chopin, Justyna', 'Ciechomska, Ludwika Magdalena', 'Clésinger, Jean-Baptiste', 'Czosnowska, Laura (hrabina)', 'Dudevant, Casimir', 'Dudevant, Solange', 'Duvernet, Charles', 'Gavard, Charles', 'Grzymała, Wojciech', 'Jędrzejewicz, Józef Kalasanty', 'Jędrzejewiczowa, Ludwika', 'Kalergis, Maria', 'Marliani, Charlotte', 'Obreskow, Natalia (księżna)', 'Olizar, Karol', 'Ramm, Jadwiga', 'Rozières, Marie de', 'Rzyszczewska, Michalina', 'Sand, George', 'Sand, Maurice', 'Skarbek, Fryderyk (hrabia)', 'Stirling, Jane Wilhelmina']"
304,"['Dudevant, Solange']",,,
309,,"['Gascogne', 'Posiadłość George Sand (Nohant)', 'Tulle']",,"['Albrecht, Thomas', 'Bertholdi, Augustine Marie', 'Borie, Victor', 'Clésinger, Jean-Baptiste', 'Dudevant, Casimir', 'Dudevant, Solange', 'Gavard, Charles', 'Jędrzejewiczowa, Ludwika', 'Lambert, Eugène', 'Ludwik Filip I (król Francuzów)', 'Léo, Auguste', 'Marie-Amélie, Queen consort of Louis-Philippe', 'María Luisa Fernanda de Borbón', 'Mecklembourg-Schwerin, Hélène de (księżna)', 'Orléans, Antoine de', 'Perthuis, de (hrabia)', 'Pleyel, Camille', 'Rozières, Marie de', 'Sand, George', 'Sand, Maurice']"
310,"['Barcińska, Izabella', 'Chopin, Justyna', 'Jędrzejewicz, Józef Kalasanty', 'Jędrzejewiczowa, Ludwika']","['Brest', 'Kraków', 'Nantes', 'Paris (7008038)', 'Seine (7009707)']","['Barciński, Jan']","['Alard, Jean-Delphin', 'Barciński, Antoni', 'Franchomme, Auguste', 'Mozart, Wolfgang Amadeusz', 'Nowakowski, Józef', 'Pleyel, Camille', 'Potocka, Katarzyna (hrabina)', 'Wernik, Kazimierz', 'Witwicki, Stefan']"
328,"['Grzymała, Wojciech']",,,"['Erskine, Katherine', 'Ludwik Filip I (król Francuzów)', 'Stirling, Jane Wilhelmina']"
329,"['Szulczewski, Karol']",,,
