id,name
249,Eugène Delacroix to Fr. Chopin in Paris
250,Letter from Fryderyk Chopin to George Sand 
251,To Wojciech Grzymała in Paris
256,Priest Aleksander Jełowicki to Fr. Chopin in Paris
267,To Józef Nowakowski in Paris
264,To Wojciech Grzymała in Paris
277,George Sand to Marie de Rozières in Paris
254,To Wojciech Grzymała in Paris
253,To Wojciech Grzymała in Paris
259,Ernest Legouvé to Fr. Chopin in Paris
255,Edmund Chojecki to Fr. Chopin in Paris
260,Ernest Legouvé to Fr. Chopin in Paris
262,Ernest Legouvé to Fr. Chopin in Paris
257,To George Sand in Nohant
258,To George Sand in Nohant
261,Ernest Legouvé to Fr. Chopin in Paris
265,To Wojciech Grzymała in Paris
266,To Wojciech Grzymała in Paris
263,Letter from Fryderyk Chopin to Wojciech Grzymała
269,Letter from Fryderyk Chopin to family
268,Letter from Fryderyk Chopin to George Sand 
270,To George Sand in Nohant
271,To George Sand in Nohant
272,George Sand to Marie de Rozières in Paris
274,Józef Elsner to Fr. Chopin in Paris
275,Eugène Delacroix to George Sand in Nohant
276,George Sand to Adolf Gutmann in Paris
273,Emil Jenike to Fr. Chopin in Paris
278,To George Sand in Nohant
280,To Solange Clésinger in Nohant
279,An announcement about the wedding of Solange Dudevant
281,George Sand to Wojciech Grzymała in Paris
282,To family in Warsaw
283,George Sand to Ludwika Jędrzejewicz in Warsaw
284,To Breitkopf & Härtel company in Leipzig
285,Solange Clésinger to Fr. Chopin in Paris
286,To Solange Clésinger in La Châtre
288,To George Sand in Nohant
287,George Sand to Fr. Chopin in Paris
294,To Solange Clésinger in Besançon
289,To Wojciech Grzymała in Paris
290,To Solange Clésinger in Besançon
291,Camille Billing de Courbonne to Fr. Chopin in Paris
292,Solange Clésinger to Fr. Chopin in Paris
305,Anna Czartoryska to Fr. Chopin in Paris
293,To Auguste Franchomme in Paris
1378,Letter from Fryderyk Chopin to Louis and Gemma Brandus 
300,To Solange Clésinger in Guillery
295,To Auguste Léo in Paris
296,Solange Clésinger to Fr. Chopin in Paris
297,Eugène Delacroix to George Sand in Nohant
